Designator,Footprint,Quantity,Value,LCSC Part #
D1,SOD-323_L1.8-W1.3-LS2.5-RD,1,NSR0320MW2T1G,C48192
J1,PinHeader_1x04_P2.54mm_Horizontal,1,Conn_01x04,
"J2, J3",PinHeader_1x03_P2.54mm_Horizontal,2,Conn_01x03_Pin,
"J4, J5",PinHeader_1x10_P2.54mm_Vertical,2,Conn_01x10,
LED1,LED0805-R-RD,1,FC-2012HRK-620D,C84256
R1,0603,1,1k,
"R2, R3",0603,2,5.1k,
R4,0603,1,68,
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477
U1,COMM-SMD_ESP-WROOM-32D,1,ESP-WROOM-32E,C19949066
U2,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,LM2940S-3.3,C596335
USB1,TYPE-C-SMD_TYPE-C-6P_5,1,TYPE-C 6P(073),C668623
